"","estimate","p.value","type"
"1",-1.89502134619335e-06,1.71157655269015e-236,"income"
"2",-1.89502134619335e-06,1.71157655269015e-236,"income"
"3",-1.89502134619335e-06,1.71157655269015e-236,"income"
"4",-1.89502134619335e-06,1.71157655269015e-236,"income"
"5",-1.89502134619335e-06,1.71157655269015e-236,"income"
"6",-1.89502134619335e-06,1.71157655269015e-236,"income"
"7",-1.89502134619335e-06,1.71157655269015e-236,"income"
"8",-1.89502134619335e-06,1.71157655269015e-236,"income"
"9",-1.89502134619335e-06,1.71157655269015e-236,"income"
"10",-1.89502134619335e-06,1.71157655269015e-236,"income"
"11",-1.89502134619335e-06,1.71157655269015e-236,"income"
"12",-1.89502134619335e-06,1.71157655269015e-236,"income"
"13",-1.89502134619335e-06,1.71157655269015e-236,"income"
"14",-1.89502134619335e-06,1.71157655269015e-236,"income"
"15",-1.89502134619335e-06,1.71157655269015e-236,"income"
"16",-1.89502134619335e-06,1.71157655269015e-236,"income"
"17",-1.89502134619335e-06,1.71157655269015e-236,"income"
"18",-1.89502134619335e-06,1.71157655269015e-236,"income"
"19",-1.89502134619335e-06,1.71157655269015e-236,"income"
"20",-1.89502134619335e-06,1.71157655269015e-236,"income"
"21",-1.89502134619335e-06,1.71157655269015e-236,"income"
"22",-1.89502134619335e-06,1.71157655269015e-236,"income"
"23",-1.89502134619335e-06,1.71157655269015e-236,"income"
"24",-1.89502134619335e-06,1.71157655269015e-236,"income"
"25",-1.89502134619335e-06,1.71157655269015e-236,"income"
"26",-1.89502134619335e-06,1.71157655269015e-236,"income"
"27",-1.89502134619335e-06,1.71157655269015e-236,"income"
"28",-1.89502134619335e-06,1.71157655269015e-236,"income"
"29",-1.89502134619335e-06,1.71157655269015e-236,"income"
"30",-1.89502134619335e-06,1.71157655269015e-236,"income"
"31",-1.89502134619335e-06,1.71157655269015e-236,"income"
"32",-1.89502134619335e-06,1.71157655269015e-236,"income"
"33",-1.89502134619335e-06,1.71157655269015e-236,"income"
"34",-1.89502134619335e-06,1.71157655269015e-236,"income"
"35",-1.89502134619335e-06,1.71157655269015e-236,"income"
"36",-1.89502134619335e-06,1.71157655269015e-236,"income"
"37",-1.89502134619335e-06,1.71157655269015e-236,"income"
"38",-1.89502134619335e-06,1.71157655269015e-236,"income"
"39",-1.89502134619335e-06,1.71157655269015e-236,"income"
"40",-1.89502134619335e-06,1.71157655269015e-236,"income"
"41",-1.89502134619335e-06,1.71157655269015e-236,"income"
"42",-1.89502134619335e-06,1.71157655269015e-236,"income"
"43",-1.89502134619335e-06,1.71157655269015e-236,"income"
"44",-1.89502134619335e-06,1.71157655269015e-236,"income"
"45",-1.89502134619335e-06,1.71157655269015e-236,"income"
"46",-1.89502134619335e-06,1.71157655269015e-236,"income"
"47",-1.89502134619335e-06,1.71157655269015e-236,"income"
"48",-1.89502134619335e-06,1.71157655269015e-236,"income"
"49",-1.89502134619335e-06,1.71157655269015e-236,"income"
"50",-1.89502134619335e-06,1.71157655269015e-236,"income"
"51",-1.89502134619335e-06,1.71157655269015e-236,"income"
"52",-1.89502134619335e-06,1.71157655269015e-236,"income"
"53",-1.89502134619335e-06,1.71157655269015e-236,"income"
"54",-1.89502134619335e-06,1.71157655269015e-236,"income"
"55",-1.89502134619335e-06,1.71157655269015e-236,"income"
"56",-1.89502134619335e-06,1.71157655269015e-236,"income"
"57",-1.89502134619335e-06,1.71157655269015e-236,"income"
"58",-1.89502134619335e-06,1.71157655269015e-236,"income"
"59",-1.89502134619335e-06,1.71157655269015e-236,"income"
"60",-1.89502134619335e-06,1.71157655269015e-236,"income"
"61",-1.89502134619335e-06,1.71157655269015e-236,"income"
"62",-1.89502134619335e-06,1.71157655269015e-236,"income"
"63",-1.89502134619335e-06,1.71157655269015e-236,"income"
"64",-1.89502134619335e-06,1.71157655269015e-236,"income"
"65",-1.89502134619335e-06,1.71157655269015e-236,"income"
"66",-1.89502134619335e-06,1.71157655269015e-236,"income"
"67",-1.89502134619335e-06,1.71157655269015e-236,"income"
"68",-1.89502134619335e-06,1.71157655269015e-236,"income"
"69",-1.89502134619335e-06,1.71157655269015e-236,"income"
"70",-1.89502134619335e-06,1.71157655269015e-236,"income"
"71",-1.89502134619335e-06,1.71157655269015e-236,"income"
"72",-1.89502134619335e-06,1.71157655269015e-236,"income"
"73",-1.89502134619335e-06,1.71157655269015e-236,"income"
"74",-1.89502134619335e-06,1.71157655269015e-236,"income"
"75",-1.89502134619335e-06,1.71157655269015e-236,"income"
"76",-1.89502134619335e-06,1.71157655269015e-236,"income"
"77",-1.89502134619335e-06,1.71157655269015e-236,"income"
"78",-1.89502134619335e-06,1.71157655269015e-236,"income"
"79",-1.89502134619335e-06,1.71157655269015e-236,"income"
"80",-1.89502134619335e-06,1.71157655269015e-236,"income"
"81",-1.89502134619335e-06,1.71157655269015e-236,"income"
"82",-1.89502134619335e-06,1.71157655269015e-236,"income"
"83",-1.89502134619335e-06,1.71157655269015e-236,"income"
"84",-1.89502134619335e-06,1.71157655269015e-236,"income"
"85",-1.89502134619335e-06,1.71157655269015e-236,"income"
"86",-1.89502134619335e-06,1.71157655269015e-236,"income"
"87",-1.89502134619335e-06,1.71157655269015e-236,"income"
"88",-1.89502134619335e-06,1.71157655269015e-236,"income"
"89",-1.89502134619335e-06,1.71157655269015e-236,"income"
"90",-1.89502134619335e-06,1.71157655269015e-236,"income"
"91",-1.89502134619335e-06,1.71157655269015e-236,"income"
"92",-1.89502134619335e-06,1.71157655269015e-236,"income"
"93",-1.89502134619335e-06,1.71157655269015e-236,"income"
"94",-1.89502134619335e-06,1.71157655269015e-236,"income"
"95",-1.89502134619335e-06,1.71157655269015e-236,"income"
"96",-1.89502134619335e-06,1.71157655269015e-236,"income"
"97",-1.89502134619335e-06,1.71157655269015e-236,"income"
"98",-1.89502134619335e-06,1.71157655269015e-236,"income"
"99",-1.89502134619335e-06,1.71157655269015e-236,"income"
"100",-1.89502134619335e-06,1.71157655269015e-236,"income"
"101",0.763780212908946,0,"white"
"102",0.763780212908946,0,"white"
"103",0.763780212908946,0,"white"
"104",0.763780212908946,0,"white"
"105",0.763780212908946,0,"white"
"106",0.763780212908946,0,"white"
"107",0.763780212908946,0,"white"
"108",0.763780212908946,0,"white"
"109",0.763780212908946,0,"white"
"110",0.763780212908946,0,"white"
"111",0.763780212908946,0,"white"
"112",0.763780212908946,0,"white"
"113",0.763780212908946,0,"white"
"114",0.763780212908946,0,"white"
"115",0.763780212908946,0,"white"
"116",0.763780212908946,0,"white"
"117",0.763780212908946,0,"white"
"118",0.763780212908946,0,"white"
"119",0.763780212908946,0,"white"
"120",0.763780212908946,0,"white"
"121",0.763780212908946,0,"white"
"122",0.763780212908946,0,"white"
"123",0.763780212908946,0,"white"
"124",0.763780212908946,0,"white"
"125",0.763780212908946,0,"white"
"126",0.763780212908946,0,"white"
"127",0.763780212908946,0,"white"
"128",0.763780212908946,0,"white"
"129",0.763780212908946,0,"white"
"130",0.763780212908946,0,"white"
"131",0.763780212908946,0,"white"
"132",0.763780212908946,0,"white"
"133",0.763780212908946,0,"white"
"134",0.763780212908946,0,"white"
"135",0.763780212908946,0,"white"
"136",0.763780212908946,0,"white"
"137",0.763780212908946,0,"white"
"138",0.763780212908946,0,"white"
"139",0.763780212908946,0,"white"
"140",0.763780212908946,0,"white"
"141",0.763780212908946,0,"white"
"142",0.763780212908946,0,"white"
"143",0.763780212908946,0,"white"
"144",0.763780212908946,0,"white"
"145",0.763780212908946,0,"white"
"146",0.763780212908946,0,"white"
"147",0.763780212908946,0,"white"
"148",0.763780212908946,0,"white"
"149",0.763780212908946,0,"white"
"150",0.763780212908946,0,"white"
"151",0.763780212908946,0,"white"
"152",0.763780212908946,0,"white"
"153",0.763780212908946,0,"white"
"154",0.763780212908946,0,"white"
"155",0.763780212908946,0,"white"
"156",0.763780212908946,0,"white"
"157",0.763780212908946,0,"white"
"158",0.763780212908946,0,"white"
"159",0.763780212908946,0,"white"
"160",0.763780212908946,0,"white"
"161",0.763780212908946,0,"white"
"162",0.763780212908946,0,"white"
"163",0.763780212908946,0,"white"
"164",0.763780212908946,0,"white"
"165",0.763780212908946,0,"white"
"166",0.763780212908946,0,"white"
"167",0.763780212908946,0,"white"
"168",0.763780212908946,0,"white"
"169",0.763780212908946,0,"white"
"170",0.763780212908946,0,"white"
"171",0.763780212908946,0,"white"
"172",0.763780212908946,0,"white"
"173",0.763780212908946,0,"white"
"174",0.763780212908946,0,"white"
"175",0.763780212908946,0,"white"
"176",0.763780212908946,0,"white"
"177",0.763780212908946,0,"white"
"178",0.763780212908946,0,"white"
"179",0.763780212908946,0,"white"
"180",0.763780212908946,0,"white"
"181",0.763780212908946,0,"white"
"182",0.763780212908946,0,"white"
"183",0.763780212908946,0,"white"
"184",0.763780212908946,0,"white"
"185",0.763780212908946,0,"white"
"186",0.763780212908946,0,"white"
"187",0.763780212908946,0,"white"
"188",0.763780212908946,0,"white"
"189",0.763780212908946,0,"white"
"190",0.763780212908946,0,"white"
"191",0.763780212908946,0,"white"
"192",0.763780212908946,0,"white"
"193",0.763780212908946,0,"white"
"194",0.763780212908946,0,"white"
"195",0.763780212908946,0,"white"
"196",0.763780212908946,0,"white"
"197",0.763780212908946,0,"white"
"198",0.763780212908946,0,"white"
"199",0.763780212908946,0,"white"
"200",0.763780212908946,0,"white"
"201",-0.763780212908941,0,"minority"
"202",-0.763780212908941,0,"minority"
"203",-0.763780212908941,0,"minority"
"204",-0.763780212908941,0,"minority"
"205",-0.763780212908941,0,"minority"
"206",-0.763780212908941,0,"minority"
"207",-0.763780212908941,0,"minority"
"208",-0.763780212908941,0,"minority"
"209",-0.763780212908941,0,"minority"
"210",-0.763780212908941,0,"minority"
"211",-0.763780212908941,0,"minority"
"212",-0.763780212908941,0,"minority"
"213",-0.763780212908941,0,"minority"
"214",-0.763780212908941,0,"minority"
"215",-0.763780212908941,0,"minority"
"216",-0.763780212908941,0,"minority"
"217",-0.763780212908941,0,"minority"
"218",-0.763780212908941,0,"minority"
"219",-0.763780212908941,0,"minority"
"220",-0.763780212908941,0,"minority"
"221",-0.763780212908941,0,"minority"
"222",-0.763780212908941,0,"minority"
"223",-0.763780212908941,0,"minority"
"224",-0.763780212908941,0,"minority"
"225",-0.763780212908941,0,"minority"
"226",-0.763780212908941,0,"minority"
"227",-0.763780212908941,0,"minority"
"228",-0.763780212908941,0,"minority"
"229",-0.763780212908941,0,"minority"
"230",-0.763780212908941,0,"minority"
"231",-0.763780212908941,0,"minority"
"232",-0.763780212908941,0,"minority"
"233",-0.763780212908941,0,"minority"
"234",-0.763780212908941,0,"minority"
"235",-0.763780212908941,0,"minority"
"236",-0.763780212908941,0,"minority"
"237",-0.763780212908941,0,"minority"
"238",-0.763780212908941,0,"minority"
"239",-0.763780212908941,0,"minority"
"240",-0.763780212908941,0,"minority"
"241",-0.763780212908941,0,"minority"
"242",-0.763780212908941,0,"minority"
"243",-0.763780212908941,0,"minority"
"244",-0.763780212908941,0,"minority"
"245",-0.763780212908941,0,"minority"
"246",-0.763780212908941,0,"minority"
"247",-0.763780212908941,0,"minority"
"248",-0.763780212908941,0,"minority"
"249",-0.763780212908941,0,"minority"
"250",-0.763780212908941,0,"minority"
"251",-0.763780212908941,0,"minority"
"252",-0.763780212908941,0,"minority"
"253",-0.763780212908941,0,"minority"
"254",-0.763780212908941,0,"minority"
"255",-0.763780212908941,0,"minority"
"256",-0.763780212908941,0,"minority"
"257",-0.763780212908941,0,"minority"
"258",-0.763780212908941,0,"minority"
"259",-0.763780212908941,0,"minority"
"260",-0.763780212908941,0,"minority"
"261",-0.763780212908941,0,"minority"
"262",-0.763780212908941,0,"minority"
"263",-0.763780212908941,0,"minority"
"264",-0.763780212908941,0,"minority"
"265",-0.763780212908941,0,"minority"
"266",-0.763780212908941,0,"minority"
"267",-0.763780212908941,0,"minority"
"268",-0.763780212908941,0,"minority"
"269",-0.763780212908941,0,"minority"
"270",-0.763780212908941,0,"minority"
"271",-0.763780212908941,0,"minority"
"272",-0.763780212908941,0,"minority"
"273",-0.763780212908941,0,"minority"
"274",-0.763780212908941,0,"minority"
"275",-0.763780212908941,0,"minority"
"276",-0.763780212908941,0,"minority"
"277",-0.763780212908941,0,"minority"
"278",-0.763780212908941,0,"minority"
"279",-0.763780212908941,0,"minority"
"280",-0.763780212908941,0,"minority"
"281",-0.763780212908941,0,"minority"
"282",-0.763780212908941,0,"minority"
"283",-0.763780212908941,0,"minority"
"284",-0.763780212908941,0,"minority"
"285",-0.763780212908941,0,"minority"
"286",-0.763780212908941,0,"minority"
"287",-0.763780212908941,0,"minority"
"288",-0.763780212908941,0,"minority"
"289",-0.763780212908941,0,"minority"
"290",-0.763780212908941,0,"minority"
"291",-0.763780212908941,0,"minority"
"292",-0.763780212908941,0,"minority"
"293",-0.763780212908941,0,"minority"
"294",-0.763780212908941,0,"minority"
"295",-0.763780212908941,0,"minority"
"296",-0.763780212908941,0,"minority"
"297",-0.763780212908941,0,"minority"
"298",-0.763780212908941,0,"minority"
"299",-0.763780212908941,0,"minority"
"300",-0.763780212908941,0,"minority"
