,year,quant,group,Value,Std. Error,t value,Pr(>|t|),,
(Intercept),2020,0.25,1,-0.435021097,0.22217817,-1.957983077,0.050321256,,
mean_high_c,2020,0.25,1,0.020815752,0.006150578,3.384357319,0.000722286,,
(Intercept),2021,0.25,1,-0.066273946,0.49331054,-0.134345288,0.893143566,,
mean_high_c,2021,0.25,1,0.01743295,0.013648581,1.277272011,0.201660022,,
(Intercept),2020,0.5,1,-0.277826021,0.381706185,-0.727853077,0.466758305,,
mean_high_c,2020,0.5,1,0.029575373,0.010557511,2.801358389,0.005120255,,
(Intercept),2021,0.5,1,-0.536287817,1.081545959,-0.495853007,0.620054639,,
mean_high_c,2021,0.5,1,0.048283428,0.030565668,1.579662118,0.114348301,,
(Intercept),2020,0.75,1,0.174535486,1.044606539,0.167082513,0.867315984,,
mean_high_c,2020,0.75,1,0.046163739,0.029035641,1.589899104,0.111959158,,
(Intercept),2021,0.75,1,-2.826318479,4.386979123,-0.644251637,0.519488908,,
mean_high_c,2021,0.75,1,0.152630406,0.125365119,1.217487025,0.223567959,,
(Intercept),2020,0.95,1,-1.409503351,3.57476346,-0.39429276,0.693391934,,
mean_high_c,2020,0.95,1,0.196391183,0.097589787,2.012415325,0.044262202,,
(Intercept),2021,0.95,1,3.599576575,2.773780015,1.297715232,0.194540445,,
mean_high_c,2021,0.95,1,0.148263957,0.075222892,1.970995163,0.048867259,,All relationships are positive regardless of year. Most not signiicant
(Intercept),2020,0.25,2,-0.484172531,0.150465784,-3.217824803,0.001299074,,
mean_high_c,2020,0.25,2,0.021386234,0.004119734,5.191168046,2.16E-07,,
(Intercept),2021,0.25,2,0.325791326,0.349093732,0.933248856,0.350754928,,
mean_high_c,2021,0.25,2,0.002706399,0.009598159,0.281970634,0.777982455,,
(Intercept),2020,0.5,2,-0.523089333,0.192602452,-2.715901725,0.00662998,,
mean_high_c,2020,0.5,2,0.032264569,0.005284449,6.105569136,1.09E-09,,
(Intercept),2021,0.5,2,1.340913353,0.468466245,2.862347858,0.004229762,,
mean_high_c,2021,0.5,2,-0.00787104,0.012991234,-0.605873177,0.544637685,,
(Intercept),2020,0.75,2,0.105805751,0.315716648,0.335128832,0.737540543,,
mean_high_c,2020,0.75,2,0.032555616,0.008575243,3.79646558,0.000148336,,
(Intercept),2021,0.75,2,0.366666667,1.062951572,0.344951432,0.730151308,,
mean_high_c,2021,0.75,2,0.047619048,0.029481446,1.615220876,0.106351685,,
(Intercept),2020,0.95,2,-0.724307619,3.108072778,-0.233040752,0.815738336,,
mean_high_c,2020,0.95,2,0.130783107,0.084249347,1.552333777,0.120639275,,
(Intercept),2021,0.95,2,-39.41517857,12.83777081,-3.070250992,0.002154959,,
mean_high_c,2021,0.95,2,1.339285714,0.365685034,3.662402315,0.000253503,,All positive except 50th in 2021. Most 2020 are significant
(Intercept),2020,0.25,3,-0.567823295,0.097974987,-5.795594469,7.00E-09,,
mean_high_c,2020,0.25,3,0.023354408,0.002681202,8.710424359,0,,
(Intercept),2021,0.25,3,0.871726442,0.256660799,3.396414435,0.000686414,,
mean_high_c,2021,0.25,3,-0.012994988,0.007042004,-1.845353571,0.06502683,,
(Intercept),2020,0.5,3,-0.185362554,0.104912244,-1.766834331,0.077284207,,
mean_high_c,2020,0.5,3,0.022186147,0.002823897,7.856571849,4.44E-15,,
(Intercept),2021,0.5,3,1.115397406,0.272354132,4.095393735,4.26E-05,,
mean_high_c,2021,0.5,3,-0.003325574,0.007554606,-0.440204773,0.659801912,,
(Intercept),2020,0.75,3,0.086210317,0.29124096,0.296010277,0.767227922,,
mean_high_c,2020,0.75,3,0.033730159,0.007971977,4.231090993,2.34E-05,,
(Intercept),2021,0.75,3,0.365075351,0.831127821,0.439252954,0.660491335,,
mean_high_c,2021,0.75,3,0.045275199,0.023094546,1.960428162,0.049983963,,
(Intercept),2020,0.95,3,4.165049339,1.826848576,2.279909454,0.022632459,,
mean_high_c,2020,0.95,3,0.022128971,0.050544401,0.437812504,0.661530958,,
(Intercept),2021,0.95,3,15.3268103,4.756964643,3.221972717,0.001278732,,
mean_high_c,2021,0.95,3,-0.240180446,0.128247409,-1.872789854,0.061137577,,
(Intercept),2020,0.25,4,-0.608961303,0.062151582,-9.798001667,0,,
mean_high_c,2020,0.25,4,0.024580378,0.001690444,14.54077949,0,,
(Intercept),2021,0.25,4,0.724499866,0.169071722,4.285162866,1.84E-05,,
mean_high_c,2021,0.25,4,-0.005303437,0.004683558,-1.132352215,0.257507584,,
(Intercept),2020,0.5,4,0.039060374,0.108634546,0.359557577,0.719182069,,
mean_high_c,2020,0.5,4,0.016930193,0.002983531,5.674548876,1.41E-08,,
(Intercept),2021,0.5,4,1.165770153,0.240141002,4.854523563,1.22E-06,,
mean_high_c,2021,0.5,4,-0.002233122,0.006695892,-0.333506336,0.738757567,,
(Intercept),2020,0.75,4,0.669499257,0.235691487,2.840574627,0.004508093,,
mean_high_c,2020,0.75,4,0.0183851,0.006412725,2.866971561,0.004148827,,
(Intercept),2021,0.75,4,2.429323725,0.633461266,3.834999636,0.000126166,,
mean_high_c,2021,0.75,4,-0.007127019,0.01757877,-0.405433335,0.685165784,,
(Intercept),2020,0.95,4,3.444402444,1.316033377,2.617260705,0.008870989,,
mean_high_c,2020,0.95,4,0.015120015,0.035686829,0.423686147,0.671799588,,
(Intercept),2021,0.95,4,10.4368839,2.998626348,3.480554992,0.000502042,,
mean_high_c,2021,0.95,4,-0.117360414,0.081894789,-1.433063259,0.151864168,,
(Intercept),2020,0.25,5,-0.471355026,0.042202638,-11.1688522,0,,
mean_high_c,2020,0.25,5,0.021715015,0.001161097,18.7021553,0,,
(Intercept),2021,0.25,5,1.061806915,0.09986468,10.63245699,0,,
mean_high_c,2021,0.25,5,-0.016307893,0.002778988,-5.868284923,4.45E-09,,
(Intercept),2020,0.5,5,0.005230699,0.046267204,0.11305414,0.909988127,,
mean_high_c,2020,0.5,5,0.016902695,0.00125145,13.50648757,0,,
(Intercept),2021,0.5,5,2.038809633,0.107763686,18.91926405,0,,
mean_high_c,2021,0.5,5,-0.030679552,0.00296507,-10.34699249,0,,
(Intercept),2020,0.75,5,0.642715194,0.102077384,6.296352521,3.07E-10,,
mean_high_c,2020,0.75,5,0.011986777,0.00278991,4.296473565,1.74E-05,,
(Intercept),2021,0.75,5,4.024479167,0.217339986,18.51697539,0,,
mean_high_c,2021,0.75,5,-0.065972222,0.005974254,-11.04275554,0,,
(Intercept),2020,0.95,5,2.730055279,0.498211486,5.47971164,4.28E-08,,
mean_high_c,2020,0.95,5,0.006736337,0.013394939,0.502901658,0.615035828,,
(Intercept),2021,0.95,5,6.612787356,1.419304599,4.659174191,3.19E-06,,
mean_high_c,2021,0.95,5,-0.045715778,0.039536944,-1.156280036,0.247575485,,